EFFIS_CLASS,CUFAA_CLASS,CLC18_CLASS,CLC18_NAME_ITALIAN,CLC18_NAME_ENGLISH,INFC_ID,INFC_NAME_ITALIAN,INFC_NAME_ENGLISH,FOREST_TYPE
BROADLEA,BOSCO,3113,Boschi misti a prev. di altre latifoglie autoctone,Mesophilous broadleaved forests,24,"Ostrieti, carpineti",Hornbeam and Hophornbeam,Broadleaved
BROADLEA,BOSCO,3114,Boschi a prevalenza di castagno,Chestnut forests,23,Castagneti,Chestnut,Broadleaved
BROADLEA,BOSCO,3115,Boschi a prevalenza di faggio,Beech forests,20,Faggete,Beech,Broadleaved
TRANSIT,BOSCO,3116,Boschi a prevalenza di specie igrofile,Hygrophilous forests,25,Boschi igrofili,Hygrophilous forests,Broadleaved
CONIFER,BOSCO,312,Boschi di conifere,Coniferous forests,10,Boschi di larice e cembro,Larch and Stone pine,Conifer
CONIFER,BOSCO,312,Boschi di conifere,Coniferous forests,11,Boschi di abete rosso,Norway spruce,Conifer
CONIFER,BOSCO,312,Boschi di conifere,Coniferous forests,12,Boschi di abete bianco,Fir,Conifer
CONIFER,BOSCO,312,Boschi di conifere,Coniferous forests,13,Pinete di pino silvestre e montano,Scots pine and Mountain pine,Conifer
CONIFER,BOSCO,312,Boschi di conifere,Coniferous forests,14,"Pinete di pino nero, laricio e loricato",Black pines,Conifer
CONIFER,BOSCO,312,Boschi di conifere,Coniferous forests,15,Pinete di pini mediterranei,Coniferous plantations,Conifer
CONIFER,BOSCO,312,Boschi di conifere,Coniferous forests,16,"Altri boschi di conifere, pure o miste",Mediterranean pines,Conifer
CONIFER,BOSCO,312,Boschi di conifere,Coniferous forests,17,Piantagioni di conifere,Other coniferous forests,Conifer
CONIFER,BOSCO,3121,Boschi a prev. di pini mediterranei e cipressi,Mediterranean pine forests,15,Pinete di pini mediterrane,Mediterranean pines,Conifer
CONIFER,BOSCO,3122,Boschi a prevalenza di pini oro-mediterranei e montani,Mountain and oro-Mediterranean pine forests,13,Pinete di pino silvestre e montano,Scots pine and Mountain pine,Conifer
CONIFER,BOSCO,3122,Boschi a prevalenza di pini oro-mediterranei e montani,Mountain and oro-Mediterranean pine forests,14,"Pinete di pino nero, laricio e loricato",Black pines,Conifer
CONIFER,BOSCO,3122,Boschi a prevalenza di pini oro-mediterranei e montani,Mountain and oro-Mediterranean pine forests,17,Piantagioni di conifere,Coniferous plantations,Conifer
CONIFER,BOSCO,3123,Boschi a prev. di abeti,Silver fir and/or Norway spruce forests,11,Boschi di abete rosso,Norway spruce,Conifer
CONIFER,BOSCO,3123,Boschi a prev. di abeti,Silver fir and/or Norway spruce forests,12,Boschi di abete bianco,Fir,Conifer
CONIFER,BOSCO,3124,Boschi a prevalenza di larice e/o pino cembro,Larch and/or Arolla pine forests,13,Pinete di pino silvestre e montano,Scots pine and Mountain pine,Conifer
CONIFER,BOSCO,3124,Boschi a prevalenza di larice e/o pino cembro,Larch and/or Arolla pine forests,14,"Pinete di pino nero, laricio e loricato",Black pines,Conifer
CONIFER,BOSCO,3124,Boschi a prevalenza di larice e/o pino cembro,Larch and/or Arolla pine forests,17,Piantagioni di conifere,Coniferous plantations,Conifer
CONIFER,BOSCO,3125,Boschi ed ex-piantagioni a prevalenza di conifere esotiche,Non-native coniferous forests,13,Pinete di pino silvestre e montano,Scots pine and Mountain pine,Conifer
CONIFER,BOSCO,3125,Boschi ed ex-piantagioni a prevalenza di conifere esotiche,Non-native coniferous forests,14,"Pinete di pino nero, laricio e loricato",Black pines,Conifer
CONIFER,BOSCO,3125,Boschi ed ex-piantagioni a prevalenza di conifere esotiche,Non-native coniferous forests,17,Piantagioni di conifere,Coniferous plantations,Conifer
MIXED,BOSCO,313,Boschi misti,Mixed forests,10,Boschi di larice e cembro,Larch and Stone pine,Conifer
MIXED,BOSCO,313,Boschi misti,Mixed forests,11,Boschi di abete rosso,Norway spruce,Conifer
MIXED,BOSCO,313,Boschi misti,Mixed forests,12,Boschi di abete bianco,Fir,Conifer
MIXED,BOSCO,313,Boschi misti,Mixed forests,13,Pinete di pino silvestre e montano,Scots pine and Mountain pine,Conifer
MIXED,BOSCO,313,Boschi misti,Mixed forests,14,"Pinete di pino nero, laricio e loricato",Black pines,Conifer
MIXED,BOSCO,313,Boschi misti,Mixed forests,15,Pinete di pini mediterranei,Mediterranean pines,Conifer
MIXED,BOSCO,313,Boschi misti,Mixed forests,16,"Altri boschi di conifere, pure o miste",Other coniferous forests,Conifer
MIXED,BOSCO,313,Boschi misti,Mixed forests,17,Piantagioni di conifere,Coniferous plantations,Conifer
MIXED,BOSCO,313,Boschi misti,Mixed forests,20,Faggete,Beech,Broadleaved
MIXED,BOSCO,313,Boschi misti,Mixed forests,21,"Querceti di rovere, roverella e farnia",Temperate oaks,Broadleaved
