CLC18,TOTEQ_MG,AREA_HA
311,0.0,0.0
3111,4993.621733283467,55.430915764325434
3112,28498.788747834034,253.78825857700977
3113,11321.523470356558,101.35420971260446
3114,23119.940980174186,146.83240303108852
3115,5514.803941720539,17.35818255373364
3116,0.0,0.0
312,0.0,0.0
3121,0.0,0.0
3122,31359.506266201002,146.70203168894474
3123,16538.262622099603,22.487156085246276
3124,0.0,0.0
3125,0.0,0.0
313,0.0,0.0
3131,752.492765577246,5.053999740504312
3132,3938.723549850692,10.757386799854444
323,19529.332932860045,205.94318577308067
3231,5627.631092057383,55.87409610631991
